ageall,measurement_year
12.892,1973
7.676,1974
2.777,1975
2.458,1976
6.081,1977
7.276,1978
13.765,1979
9.251,1980
13.521,1981
19.859,1982
25.456,1983
45.835,1984
70.134,1985
36.524,1986
64.774,1987
128.523,1988
126.86,1989
164.982,1990
87.928,1991
40.524,1992
28.643,1993
19.982,1994
20.474,1995
40.646,1996
53.077,1997
66.596,1998
55.731,1999
37.392,2000
123.398,2001
104.485,2002
250.644,2003
308.878,2004
183.782,2005
112.811,2006
160.992,2007
180.456,2008
466.652,2009
380.386,2010
313.03,2011
658.86,2012
