Subarea,area.wt
31F1,0.6
31F2,0.8
32F1,0.8
32F2,1
32F3,0.8
32F4,0.01
33F1,0.3
33F2,1
33F3,1
33F4,0.4
34F1,0.4
34F2,1
34F3,1
34F4,0.6
35F0,0.8
35F1,1
35F2,1
35F3,1
35F4,0.9
35F5,0.1
36F0,0.9
36F1,1
36F2,1
36F3,1
36F4,1
36F5,1
36F6,0.9
36F7,0.4
36F8,0.5
37E9,0.2
37F0                ,1
37F1                ,1
37F2                ,1
37F3                ,1
37F4                ,1
37F5                ,1
37F6                ,1
37F7                ,1
37F8                ,0.8
38E8                ,0.2
38E9                ,0.9
38F0                ,1
38F1                ,1
38F2                ,1
38F3                ,1
38F4                ,1
38F5                ,1
38F6                ,1
38F7                ,1
38F8                ,0.3
39E8                ,0.5
39E9                ,1
39F0                ,1
39F1                ,1
39F2                ,1
39F3                ,1
39F4                ,1
39F5                ,1
39F6                ,1
39F7                ,1
39F8                ,0.4
40E7                ,0.04
40E8                ,0.8
40E9                ,1
40F0                ,1
40F1                ,1
40F2                ,1
40F3                ,1
40F4                ,1
40F5                ,1
40F6                ,1
40F7                ,1
40F8                ,0.1
41E6                ,0.03
41E7                ,0.8
41E8                ,1
41E9                ,1
41F0                ,1
41F1                ,1
41F2                ,1
41F3                ,1
41F4                ,1
41F5                ,1
41F6                ,1
41F7                ,1
41F8                ,0.1
42E7                ,0.4
42E8                ,1
42E9                ,1
42F0                ,1
42F1                ,1
42F2                ,1
42F3                ,1
42F4                ,1
42F5                ,1
42F6                ,1
42F7                ,1
42F8                ,0.2
43E7                ,0.03
43E8                ,0.9
43E9                ,1
43F0                ,1
43F1                ,1
43F2                ,1
43F3                ,1
43F4                ,1
43F5                ,1
43F6                ,1
43F7                ,1
44E6                ,0.5
44E7                ,0.5
44E8                ,0.9
44E9                ,1
44F0                ,1
44F1                ,1
44F2                ,1
44F3                ,1
44F4                ,1
44F5                ,0.9
45E6                ,0.4
45E7                ,1
45E8                ,1
45E9                ,1
45F0                ,1
45F1                ,1
45F2                ,1
45F3                ,1
45F4                ,0.6
46E6                ,0.4
46E7                ,0.9
46E8                ,1
46E9                ,1
46F0                ,1
46F1                ,1
46F2                ,1
46F3                ,0.8
47E6                ,0.8
47E7                ,0.6
47E8                ,1
47E9                ,1
47F0                ,1
47F1                ,1
47F2                ,1
47F3                ,0.6
48E6                ,1
48E7                ,1
48E8                ,0.9
48E9                ,1
48F0                ,1
48F1                ,1
48F2                ,1
48F3                ,0.5
49E6                ,0.8
49E7                ,1
49E8                ,0.4
49E9                ,1
49F0                ,1
49F1                ,1
49F2                ,1
49F3                ,0.5
50E6                ,0.1
50E7                ,0.6
50E8                ,0.7
50E9                ,0.9
50F0                ,1
50F1                ,1
50F2                ,1
50F3                ,0.2
51E6                ,0
51E7                ,0
51E8                ,0.5
51E9                ,1
51F0                ,1
51F1                ,1
51F2                ,0.5
51F3                ,0
52E6                ,0
52E7                ,0
52E8                ,0
52E9                ,0.1
52F0                ,0.2
52F1                ,0.5
52F2                ,0.1
52F3                ,0
