age1,age2,age3,age4,age5,age6,age7,age8,age9,measurement_year
-1,4090000,3903000,1633000,492000,283000,120000,44000,22000,1989
-1,3306000,3521000,3414000,1366000,392000,210000,133000,43000,1990
-1,2634000,1700000,1959000,1849000,644000,228000,94000,51000,1991
-1,3734000,1378000,1147000,1134000,1246000,395000,114000,104000,1992
-1,2984000,1637000,902000,741000,777000,551000,180000,116000,1993
-1,3185000,839000,399000,381000,321000,326000,219000,131000,1994
-1,3849000,2041000,672000,299000,203000,138000,119000,93000,1995
-1,4497000,2824000,1087000,311000,99000,83000,133000,206000,1996
9361000,5960000,2935000,1441000,601000,215000,46000,78000,159000,1997
4449000,5747000,2520000,1625000,982000,445000,170000,45000,121000,1998
5087000,3078000,4725000,1116000,506000,314000,139000,54000,87000,1999
24736000,2923000,2156000,3140000,1007000,483000,266000,120000,97000,2000
6837000,12290000,3083000,1462000,1676000,450000,170000,98000,59000,2001
23055000,4875000,8220000,1390000,794600,1031000,244400,121000,149500,2002
9829400,18949400,3081000,4188900,675100,494800,568300,145500,177700,2003
5183700,3415900,9191800,2167300,2590700,317100,327600,342050,185600,2004
3114100,2055100,3648500,5789600,1212900,1174900,139900,126500,106700,2005
6822800,3772300,1997200,2097500,4175100,618200,562100,84300,70400,2006
6261000,2750000,1848000,898000,806000,1323000,243000,152000,65000,2007
3714000,2853000,1709000,1485000,809000,712000,1749000,185000,270000,2008
4655000,5632000,2553000,1023000,1077000,674000,638000,1142000,578000,2009
