,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92721658,0.91817903,0.908387399,0.897731177,0.886323441,0.873686544,0.859957703,0.846123269,0.83219441,0.817961825,0.801866788,0.784238593,0.768564907,0.751916978,0.736622531,0.728082191,0.723143309,0.720348368,0.71883018,0.719179698,0.719663876,0.720874435,0.727028217,0.742001538,0.760045549,0.784005271,0.814326587,0.837189879,0.853998837,0.867602215,0.871539129,0.870870236,0.871225834,0.87268004,0.872385405,0.870430062,0.86660859,0.861728614,0.856681947,0.850874387
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728176174,0.742093873,0.75288907,0.75995293,0.764476079,0.765871226,0.764154005,0.761337033,0.75253718,0.742181204,0.73881544,0.737093555,0.732153996,0.724958777,0.716487164,0.703180741,0.687290497,0.672694859,0.650418168,0.629048649,0.615136019,0.601443663,0.597516325,0.608916366,0.626219859,0.65556968,0.696589999,0.726568072,0.754156941,0.776398976,0.774560434,0.763280832,0.752491315,0.741486549,0.727031371,0.710684605,0.690798956,0.668701643,0.646051917,0.621817156
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379430577,0.387320099,0.393118414,0.396691935,0.398210614,0.39748046,0.394530795,0.389904121,0.383094708,0.374437522,0.361363187,0.344625856,0.331014367,0.317604823,0.305567288,0.301449385,0.301110205,0.301446724,0.305199107,0.309544037,0.309121828,0.307942886,0.308614097,0.307930404,0.309236288,0.319045415,0.332370646,0.34439196,0.361766538,0.378007978,0.384883147,0.389876376,0.392028463,0.391100054,0.387699487,0.381889511,0.373560767,0.362767431,0.349774542,0.334559538
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333970253,0.336511304,0.337650622,0.337354475,0.33564553,0.33250014,0.327911981,0.321975172,0.314615146,0.305835196,0.293231717,0.277730327,0.26453576,0.25058238,0.237769314,0.23107703,0.226707256,0.224143757,0.226536822,0.230011373,0.231501497,0.234185771,0.236376648,0.235152963,0.234716127,0.237630771,0.241111008,0.246127377,0.255809458,0.265940296,0.273698367,0.282002585,0.289414339,0.296005609,0.302223046,0.307808683,0.312983575,0.317589648,0.321568276,0.3250633
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327406086,0.323997951,0.320099106,0.315776834,0.310887035,0.305453622,0.299477753,0.292803384,0.285800413,0.278133974,0.267968862,0.256202657,0.245721332,0.233957436,0.222859153,0.215688841,0.209707767,0.205573718,0.205636408,0.206843498,0.207276164,0.208936572,0.210260917,0.209988547,0.210206671,0.211132936,0.212002433,0.214799316,0.220611832,0.227319048,0.234561661,0.243000731,0.251337185,0.259651646,0.268380122,0.277323779,0.286668241,0.296224202,0.305838574,0.315668909
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314345017,0.310391571,0.306012276,0.30123099,0.295986416,0.290296022,0.284153541,0.277489471,0.270477686,0.2629362,0.253471839,0.242710513,0.233077556,0.222349888,0.212328582,0.206282293,0.201637181,0.198091081,0.197352512,0.19739475,0.196550172,0.196553348,0.196602537,0.195828065,0.195451212,0.195098822,0.19445168,0.195925379,0.200599421,0.206382601,0.212881939,0.22067114,0.228859771,0.23748038,0.246834271,0.256788175,0.267463324,0.278754169,0.290574489,0.30301346
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.300169238,0.294519566,0.288717007,0.282775162,0.276662395,0.270400888,0.263980211,0.257340896,0.25052084,0.243475916,0.235599223,0.227166084,0.219317334,0.210456504,0.202081033,0.19607813,0.190802921,0.186738977,0.184877893,0.183798905,0.182794,0.182736196,0.182862062,0.182739321,0.183155346,0.183628334,0.18408328,0.18619643,0.190585987,0.195921768,0.202204725,0.209671903,0.217431101,0.225540806,0.234258586,0.243416543,0.253170705,0.263413391,0.274047743,0.285165186
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287312539,0.281424151,0.27549398,0.269532857,0.263509231,0.257427057,0.251286602,0.245062699,0.238911485,0.232672826,0.225683476,0.218250958,0.211331849,0.203788977,0.196677716,0.191343317,0.186615715,0.182967341,0.181094768,0.179890461,0.178928794,0.17881689,0.178870147,0.178899101,0.1793935,0.179738453,0.180031173,0.181674028,0.184737526,0.188661889,0.19407234,0.200655976,0.20746256,0.214541396,0.222189361,0.230246101,0.238866953,0.24794657,0.257379975,0.267254188
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
