,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
2012,1740614,1501736.5,1151700.8,818342.3,874154.5,921586.9,1057787.1,1216920.4,1467383.1,1536390.7,1531376,2085051.3,2397832.7,2455912.6,2419298.7,2295492.9,1797072.4,1444261,1525478.3,1900075.3,2003951.4,2343957.3,
2011,1186874,982498,705132,474742,512077,463304,463868,563131,739391,869482,886094,1344693,1658085,1822444,1933120,1871370,1526159,1234365,1206034,1442422,1301092,1714498,
2010,1187888,982873,705749,475182,511922,463485,464038,562971,738121,866536,878518,1317450,1605297,1744930,1814302,1710000,1331695,1046787,1037697,1288866,1317000,,
2009,1182522,978026,701221,470816,508453,460948,462153,560344,733708,857946,865448,1301315,1587054,1708980,1752878,1615686,1233800,952774,999336,971000,,,
2008,1180937,975990,699157,468597,505921,458732,460013,558390,733735,852645,854701,1290083,1567010,1700059,1759662,1620899,1251675,976663,1000890,,,,
2007,1187000,982000,705600,475000,512200,462300,459700,554400,729400,846800,847500,1296000,1583000,1703000,1759000,1593000,1208000,,,,,,
2006,1189000,983200,706600,475900,512800,462400,457300,551100,730600,855400,869800,1323000,1618000,1743000,1806000,1697000,,,,,,,
2005,1181607,976042,699494,468745,506049,455908,448794,536286,707455,814895,809971,1275881,1583035,1730894,1891500,,,,,,,,
2004,1180636,976015,699463,468841,507351,457844,451901,541588,719313,831926,823943,1281565,1571036,1742436,,,,,,,,,
2003,1181220,976235,700154,470237,520698,481453,463006,556998,734785,848878,827473,1267801,1583636,2225000,,,,,,,,,
2002,1174169,960957,680708,448835,502526,480400,483788,584344,781524,935096,943389,1428052,1699000,,,,,,,,,,
2001,1115764,915372,684053,444981,473353,466975,434421,529153,701800,815482,771796,1145000,,,,,,,,,,,
2000,1149110,971648,714005,458257,502026,474149,447538,568037,701465,905645,908000,,,,,,,,,,,,
1999,1169165,980157,716278,462326,512679,500848,488163,656703,878178,1169000,1347000,,,,,,,,,,,,
1998,1151072,957442,702220,470703,543290,549669,518584,745556,1137000,1481000,,,,,,,,,,,,,
1997,1154078,949692,691979,464538,547082,550544,538841,688000,1010000,,,,,,,,,,,,,,
1996,1135000,939000,699000,458000,517000,496000,410000,883000,,,,,,,,,,,,,,,
1995,1138000,993000,778000,484000,790000,718000,1546000,,,,,,,,,,,,,,,,
1994,1260000,1149000,986000,730000,974000,1966000,,,,,,,,,,,,,,,,,
1993,1354000,1307000,1184000,1055000,2139000,,,,,,,,,,,,,,,,,,
1992,1247000,1277000,1320000,2696000,,,,,,,,,,,,,,,,,,,
1991,1411000,1320000,2526000,,,,,,,,,,,,,,,,,,,,
1990,,863000,,,,,,,,,,,,,,,,,,,,,
1989,997000,,,,,,,,,,,,,,,,,,,,,,
