"Rationale","Fbar (2011)","Catch (2011)","SSB (2011)","Fbar (2012)","Catch (2012)","SSB (2012)","SSB (2013)"
Fmult(2010) = 0.000,0.417699878560473,61820,84072.1389129777,0,0,102886.808868889,181374.828185907
Fmult(2010) = 0.100,0.417699878560473,61820,84072.1389129777,0.0417699878560473,8102.2214686204,102483.581674883,174249.219234518
Fmult(2010) = 0.200,0.417699878560473,61820,84072.1389129777,0.0835399757120946,15934.657623633,102081.946953343,167409.967326289
Fmult(2010) = 0.300,0.417699878560473,61820,84072.1389129777,0.125309963568142,23506.8821328247,101681.89836629,160845.391081709
Fmult(2010) = 0.400,0.417699878560473,61820,84072.1389129777,0.167079951424189,30828.1184300188,101283.429601168,154544.291168042
Fmult(2010) = 0.500,0.417699878560473,61820,84072.1389129777,0.208849939280237,37907.2527721059,100886.534370739,148495.930205239
Fmult(2010) = 0.600,0.417699878560473,61820,84072.1389129777,0.250619927136284,44752.8468022233,100491.206412981,142690.013517505
Fmult(2010) = 0.700,0.417699878560473,61820,84072.1389129777,0.292389914992331,51373.1496379978,100097.439490986,137116.670694556
Fmult(2010) = 0.800,0.417699878560473,61820,84072.1389129777,0.334159902848379,57776.1095030344,99705.2273928588,131766.437928240
Fmult(2010) = 0.900,0.417699878560473,61820,84072.1389129777,0.375929890704426,63969.3849191302,99314.5639316155,126630.241091564
Fmult(2010) = 1.000,0.417699878560473,61820,84072.1389129777,0.417699878560473,69960.3554760133,98925.4429450833,121699.379528669
Fmult(2010) = 1.100,0.417699878560473,61820,84072.1389129777,0.459469866416520,75756.1321947596,98537.8582957998,116965.510525577
Fmult(2010) = 1.200,0.417699878560473,61820,84072.1389129777,0.501239854272568,81363.5675004121,98151.8038709135,112420.634432874
Fmult(2010) = 1.300,0.417699878560473,61820,84072.1389129777,0.543009842128615,86789.2648187305,97767.2735820839,108057.080412679
Fmult(2010) = 1.400,0.417699878560473,61820,84072.1389129777,0.584779829984662,92039.5878114187,97384.261365383,103867.492783489
Fmult(2010) = 1.500,0.417699878560473,61820,84072.1389129777,0.62654981784071,97120.6692636266,97002.7611811963,99844.81793755
Fmult(2010) = 1.600,0.417699878560473,61820,84072.1389129777,0.668319805696757,102038.419636987,96622.7670141246,95982.2918065602
Fmult(2010) = 1.700,0.417699878560473,61820,84072.1389129777,0.710089793552805,106798.535300938,96244.272872886,92273.4278524812
Fmult(2010) = 1.800,0.417699878560473,61820,84072.1389129777,0.751859781408852,111406.506454593,95867.2727902193,88712.005561268
Fmult(2010) = 1.900,0.417699878560473,61820,84072.1389129777,0.793629769264899,115867.624750936,95491.7608227854,85292.0594182523
Fmult(2010) = 2.000,0.417699878560473,61820,84072.1389129777,0.835399757120946,120186.990634679,95117.7310510723,82007.8683448326
